#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
150.67159,5000,799.799656
118.10922,5000,799.811766
272.90973,5000,801.867257
-16.463255,5000,811.839211
138.91801,5000,812.980325
-59.26001,5000,812.992209
137.82349,5000,815.382449
259.9937,5000,825.83478
79.421265,5000,826.960792
267.07596,5000,826.971236
26.013506,5000,829.070054
-638.3641,5000,838.953698
251.81738,5000,839.968666
-46.758244,5000,839.983261
242.09166,5000,841.94381
-8.950298,5000,852.153045
-479.27008,5000,853.276837
57.842167,5000,853.292377
-299.1655,5000,855.283295
-374.40704,5000,865.241121
388.81424,5000,866.215008
-6.81579,5000,866.225175
-575.3219,5000,868.431795
241.1814,5000,878.268191
-105.36328,5000,879.886215
165.393,5000,879.912387
101.19253,5000,882.194836
-387.69632,5000,891.966177
-69.85369,5000,893.141371
267.4563,5000,893.152094
-114.09449,5000,895.089009
-387.52725,5000,904.763684
270.35062,5000,905.890092
-792.14374,5000,905.899992
-125.78414,5000,907.87914
-252.61473,5000,918.3306
-703.5401,5000,919.502703
276.5807,5000,919.514479
-672.0727,5000,921.574808
-70.75083,5000,931.654467
-90.08261,5000,932.828376
168.34535,5000,932.845051
72.58896,5000,935.10768
-267.2378,5000,945.205787
-741.2197,5000,946.392859
-67.49433,5000,946.405788
-3.3933082,5000,948.397503
323.85922,5000,958.223781
-110.09681,5000,959.184433
-230.488,5000,959.195742
252.46356,5000,961.248859
-491.78305,5000,971.440927
-558.76416,5000,972.602598
-588.5319,5000,972.61397
-299.50305,5000,974.593857
231.56192,5000,984.571057
-498.28745,5000,985.611024
-400.73196,5000,985.622029
-127.92821,5000,987.660712
-288.25198,5000,997.899059
55.529354,5000,998.981282
-144.30736,5000,998.991833
140.39314,5000,1001.406077
72.16977,5000,1011.813679
192.64395,5000,1012.785589
45.70454,5000,1012.795105
-81.340034,5000,1014.820855
17.52128,5000,1024.531204
-258.0556,5000,1025.690907
218.36282,5000,1025.700968
209.55507,5000,1027.734138
199.71469,5000,1038.126681
-167.96162,5000,1039.477742
410.1483,5000,1039.492755
453.01245,5000,1042.059756
-50.27448,5000,1054.601467
-278.16003,5000,1055.922736
-146.68715,5000,1055.934088
-706.28394,5000,1057.926728
-375.9553,5000,1068.193323
424.15018,5000,1069.195868
-138.60612,5000,1069.210307
-200.63943,5000,1071.360621
296.73056,5000,1081.037674
-679.2119,5000,1082.129267
-655.15576,5000,1082.145429
-154.97626,5000,1084.207586
143.32349,5000,1094.61932
91.20151,5000,1095.638902
-516.3505,5000,1095.802446
-584.7528,5000,1097.811064
-107.2984,5000,1107.113353
-31.575262,5000,1108.202481
-354.16098,5000,1108.214963
283.57153,5000,1110.171312
-772.87164,5000,1120.163221
-247.20921,5000,1121.257867
-71.79988,5000,1121.26932
-618.26056,5000,1123.728906
-174.99854,5000,1133.474775
-222.56798,5000,1134.696275
-77.31519,5000,1134.708286
-131.09407,5000,1136.753711
-100.71618,5000,1147.143417
-386.4004,5000,1148.333056
-790.3355,5000,1148.343776
-461.601,5000,1150.331565
-241.24814,5000,1160.577675
-147.44006,5000,1161.731593
-255.7182,5000,1161.745448
-83.160805,5000,1163.759328
-788.34174,5000,1173.43175
-376.40704,5000,1174.718828
-241.18208,5000,1174.742824
-235.08015,5000,1176.949447
-685.457,5000,1187.413355
-208.48291,5000,1188.478884
273.6507,5000,1188.492657
-115.375755,5000,1190.595018
-639.0753,5000,1200.409351
-286.57306,5000,1201.526516
-247.99861,5000,1201.538405
-235.26707,5000,1203.447656
-636.062,5000,1213.643571
-210.52602,5000,1214.585009
-331.4059,5000,1214.597743
-417.6097,5000,1216.610268
93.67651,5000,1226.844616
408.79752,5000,1228.567079
-286.98578,5000,1228.588543
-722.67883,5000,1230.999238
-430.8781,5000,1241.706078
-318.87598,5000,1242.77051
483.91266,5000,1242.783237
-516.8435,5000,1245.649405
-649.24756,5000,1255.78152
-458.19995,5000,1256.863044
47.190865,5000,1256.878652
503.54474,5000,1258.844838
453.44095,5000,1268.460436
-138.04965,5000,1269.438581
-176.8847,5000,1269.449067
199.82877,5000,1271.432524
-44.990707,2528,1275.413609
389.8738,5000,1283.113708
-316.37927,5000,1283.126069
24.991718,5000,1285.105817
-82.68113,5000,1288.495333
238.36508,5000,1296.260733
490.62872,5000,1296.271924
424.43585,5000,1298.475692
-437.1468,5000,1301.848056
-338.25775,5000,1309.782386
84.538536,5000,1309.796075
47.85217,5000,1311.826757
-406.29092,5000,1315.182521
64.11759,5000,1322.906753
-658.7877,5000,1322.918136
-109.6851,5000,1324.992313
-214.15915,5000,1328.392604
-269.88593,5000,1336.160388
-158.43207,5000,1336.174313
-415.1562,5000,1338.233323
-400.8092,5000,1341.631243
-544.86707,3621,1345.598563
-408.95197,5000,1349.109085
-290.65863,5000,1351.113602
-47.295124,5000,1354.494853
-191.95757,5000,1358.586299
-155.4036,5000,1362.052962
-197.42456,5000,1364.704881
-329.19574,5000,1368.668438
-166.63971,5000,1372.566239
-606.5995,5000,1376.079176
-483.4615,5000,1378.017404
-122.900986,5000,1381.436778
-152.05945,5000,1385.363625
-286.6577,5000,1388.772158
-321.5654,1977,1390.363933
-529.1439,5000,1390.711303
-90.23707,5000,1394.586407
-68.92686,5000,1402.775281
161.70328,5000,1404.342392
-146.17764,5000,1404.856225
-87.93625,5000,1408.200205
-435.4332,5000,1416.003334
249.31087,5000,1417.695253
262.254,5000,1418.058428
-341.3731,5000,1421.48209
-419.24637,5000,1429.347459
-173.5114,5000,1430.825152
-52.99939,5000,1431.36064
-17.86073,5000,1434.800529
-691.04846,2518,1435.937282
-190.8525,5000,1443.969288
-386.9239,5000,1444.313048
520.7119,5000,1447.975934
-473.59357,5000,1448.999089
-127.85568,5000,1473.583013
-34.729134,5000,1474.110723
-296.20197,5000,1477.591395
-122.60173,5000,1478.807394
336.5238,5000,1487.157849
-144.26767,5000,1487.503655
375.01303,5000,1491.0879
358.803,5000,1492.120268
531.8054,5000,1500.056658
-329.71375,5000,1500.611933
-122.41203,5000,1504.002268
-109.27429,5000,1505.115834
-348.9306,5000,1513.080996
229.93605,5000,1513.591702
-191.60017,5000,1517.946705
-269.69162,5000,1519.031157
-294.25204,5000,1528.430363
259.8067,5000,1529.118193
109.29851,5000,1533.250912
242.45454,5000,1534.81016
-565.3404,5000,1545.819882
505.0115,5000,1546.503544
-289.59985,5000,1551.175939
250.8954,5000,1552.50364
-185.519,5000,1562.962572
698.3794,5000,1563.591255
