#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-837.4924,1546,21.324243
-1251.3313,3045,21.356988
-189.2325,333,21.716498
-114.94294,437,21.839593
-290.4351,947,21.848365
-291.83688,442,21.881212
-2412.7102,3063,21.918257
-36.38056,58,21.948344
-71.60538,245,22.006899
-35.99269,131,22.071782
-87.26761,240,22.120089
-589.155,1974,22.169011
-16.63995,45,22.178755
-214.95663,370,22.290663
-87.76564,180,22.395033
-474.6003,1043,22.429786
-160.01036,251,22.468586
-72.949745,184,22.507807
-195.88058,448,22.543273
-21.257439,42,22.557099
-112.58141,719,22.802361
-11.60626,14,22.820299
-187.06502,742,22.954239
-115.286934,278,23.279979
-209.19896,696,23.286063
-842.4254,2180,23.287406
-230.44113,684,23.346963
-334.2816,1094,23.712096
-181.1827,429,23.788986
-20.001272,103,23.834642
-569.5505,975,23.963822
-727.6178,1215,23.985083
-40.22665,65,24.059294
-103.80764,232,24.061296
-8.016803,31,24.097599
-120.51933,641,24.097637
-118.31313,270,24.149297
-30.740795,105,24.274126
-9.833754,18,24.294133
-319.71442,1710,24.39952
-139.47838,368,24.528514
-30.250536,77,24.618416
-58.83319,148,24.790537
-198.93,470,24.948326
-243.47884,638,25.038485
-324.36536,940,25.059837
-616.164,1565,25.117868
-63.322205,154,25.12803
-275.23044,935,25.150448
-21.936003,147,25.209879
-64.599396,116,25.344888
-109.067444,228,25.383864
-132.1907,233,25.421982
-241.38986,304,25.489146
-119.01914,459,25.601962
-136.29967,230,25.658119
-412.13574,670,26.212543
-1818.1912,2557,26.279554
-241.0819,838,26.337019
-77.88155,116,26.352758
-512.7717,1980,26.42256
-147.21027,504,26.879374
-223.4943,477,26.903589
-103.68148,435,26.94092
-20.932503,32,26.941773
-45.636887,65,27.027982
-119.50286,240,27.315442
-104.75475,408,27.791292
-8.732333,108,27.919585
-154.00606,905,27.957298
-19.930866,52,28.017063
-106.262764,225,28.292813
-158.0384,1138,28.302228
-710.7181,2307,28.411655
-843.6501,2374,28.437873
-41.948826,134,28.462268
-14.616982,24,28.466351
-86.518524,132,28.62193
-682.2652,3242,28.651232
-1942.507,2804,28.842723
-75.30543,233,28.933065
-181.9113,440,28.949481
-164.62527,285,28.970954
-23.490194,154,29.120316
-155.65106,757,29.224318
-12.5231,18,29.245038
-88.16641,295,29.299036
-825.9799,1149,29.313036
-86.5789,156,29.428903
-102.531364,613,29.569516
-1185.5956,2877,29.798939
-227.03345,655,30.08727
-483.17722,1794,30.610139
-317.42093,707,30.648481
-323.2891,1186,30.716188
-607.6688,962,30.724159
-51.277122,121,30.794171
-23.167288,78,30.808535
-29.437595,144,30.892954
-158.55652,344,31.224811
-609.19,944,31.227117
-22.404133,74,31.310877
-54.67621,182,31.43929
-40.62928,135,31.468296
-8.357901,9,31.478544
-266.0671,606,31.516266
-77.302444,910,31.7003
-322.9189,2026,31.848605
-137.94212,438,31.960142
-120.57487,205,32.202902
